bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score
True,gini,,auto,1,2,10,0.9508520934146855
True,gini,,auto,1,2,50,0.9610982537344835
True,gini,,auto,1,2,100,0.9570376604249947
True,gini,,auto,1,2,200,0.9590784767515252
True,gini,,auto,1,2,400,0.9590574374079528
True,gini,,auto,1,2,600,0.9611192930780559
True,gini,,auto,1,3,10,0.9508520934146855
True,gini,,auto,1,3,50,0.9611192930780559
True,gini,,auto,1,3,100,0.9631601094045866
True,gini,,auto,1,3,200,0.9590574374079528
True,gini,,auto,1,3,400,0.9611192930780559
True,gini,,auto,1,3,600,0.9631601094045866
True,gini,,auto,1,4,10,0.9488112770881548
True,gini,,auto,1,4,50,0.9529139490847885
True,gini,,auto,1,4,100,0.9590784767515252
True,gini,,auto,1,4,200,0.9590784767515252
True,gini,,auto,1,4,400,0.9611192930780559
True,gini,,auto,1,4,600,0.9570166210814222
True,gini,,auto,2,2,10,0.9570166210814222
True,gini,,auto,2,2,50,0.9652219650746897
True,gini,,auto,2,2,100,0.963181148748159
True,gini,,auto,2,2,200,0.9652219650746895
True,gini,,auto,2,2,400,0.963181148748159
True,gini,,auto,2,2,600,0.9611403324216283
True,gini,,auto,2,3,10,0.9611192930780559
True,gini,,auto,2,3,50,0.9652219650746895
True,gini,,auto,2,3,100,0.963181148748159
True,gini,,auto,2,3,200,0.9611192930780559
True,gini,,auto,2,3,400,0.9652219650746895
True,gini,,auto,2,3,600,0.963181148748159
True,gini,,auto,2,4,10,0.9590574374079528
True,gini,,auto,2,4,50,0.963181148748159
True,gini,,auto,2,4,100,0.9611192930780559
True,gini,,auto,2,4,200,0.9611403324216283
True,gini,,auto,2,4,400,0.963181148748159
True,gini,,auto,2,4,600,0.963181148748159
True,gini,,auto,3,2,10,0.9611192930780559
True,gini,,auto,3,2,50,0.9652219650746895
True,gini,,auto,3,2,100,0.9652219650746895
True,gini,,auto,3,2,200,0.9652219650746895
True,gini,,auto,3,2,400,0.9652219650746895
True,gini,,auto,3,2,600,0.9652219650746895
True,gini,,auto,3,3,10,0.9590363980643805
True,gini,,auto,3,3,50,0.9590574374079528
True,gini,,auto,3,3,100,0.9652219650746895
True,gini,,auto,3,3,200,0.963181148748159
True,gini,,auto,3,3,400,0.9652219650746895
True,gini,,auto,3,3,600,0.9611403324216283
True,gini,,auto,3,4,10,0.9611192930780559
True,gini,,auto,3,4,50,0.9590784767515252
True,gini,,auto,3,4,100,0.9652009257311172
True,gini,,auto,3,4,200,0.963181148748159
True,gini,,auto,3,4,400,0.9652219650746895
True,gini,,auto,3,4,600,0.9652219650746895
True,gini,,auto,4,2,10,0.9652219650746897
True,gini,,auto,4,2,50,0.963181148748159
True,gini,,auto,4,2,100,0.9652219650746895
True,gini,,auto,4,2,200,0.9611403324216283
True,gini,,auto,4,2,400,0.9631601094045864
True,gini,,auto,4,2,600,0.9631601094045864
True,gini,,auto,4,3,10,0.9611192930780559
